Package                              Version
------------------------------------ --------------
adal                                 1.2.7
aiohttp                              3.8.5
aiosignal                            1.3.1
alembic                              1.10.4
antlr4-python3-runtime               4.9.3
applicationinsights                  0.11.10
argcomplete                          2.1.2
async-timeout                        4.0.3
attrs                                23.1.0
azure-ai-ml                          1.9.0
azure-common                         1.1.28
azure-core                           1.29.4
azure-core-tracing-opentelemetry     1.0.0b11
azure-data-tables                    12.4.2
azure-graphrbac                      0.61.1
azure-identity                       1.12.0
azure-keyvault                       4.2.0
azure-keyvault-certificates          4.7.0
azure-keyvault-keys                  4.8.0
azure-keyvault-secrets               4.7.0
azure-mgmt-authorization             3.0.0
azure-mgmt-containerregistry         10.1.0
azure-mgmt-core                      1.4.0
azure-mgmt-keyvault                  10.2.3
azure-mgmt-network                   21.0.1
azure-mgmt-resource                  22.0.0
azure-mgmt-storage                   21.0.0
azure-monitor-opentelemetry          1.0.0b15
azure-monitor-opentelemetry-exporter 1.0.0b16
azure-search-documents               11.3.0
azure-storage-blob                   12.18.1
azure-storage-file-datalake          12.8.0
azure-storage-file-share             12.12.0
azureml-ai-monitoring                0.1.0b3
azureml-core                         1.53.0
azureml-dataprep                     4.11.7
azureml-dataprep-native              38.0.0
azureml-dataprep-rslex               2.18.7
azureml-metrics-qna-core             0.1.0.91834377
azureml-mlflow                       1.50.0
azureml-telemetry                    1.53.0
backports.tempfile                   1.0
backports.weakref                    1.0.post1
banal                                1.0.6
bcrypt                               4.0.1
beautifulsoup4                       4.12.2
cachetools                           5.3.1
certifi                              2023.7.22
cffi                                 1.15.1
charset-normalizer                   3.2.0
click                                8.1.7
cloudpickle                          2.2.1
colorama                             0.4.6
contextlib2                          21.6.0
contourpy                            1.1.1
cryptography                         41.0.3
cycler                               0.11.0
databricks-cli                       0.17.7
dataclasses-json                     0.5.14
dataset                              1.6.0
db-copilot-tool                      0.1.7
dbcopilot                            0.3.20230714.1
Deprecated                           1.2.14
diskcache                            5.6.3
distro                               1.8.0
docker                               6.1.3
dotnetcore2                          3.1.23
embeddingstore                       0.0.1
emoji                                1.7.0
entrypoints                          0.4
faiss-cpu                            1.7.4
filelock                             3.12.4
fixedint                             0.1.6
Flask                                2.2.3
fonttools                            4.42.1
frozenlist                           1.4.0
gitdb                                4.0.10
GitPython                            3.1.36
google-api-core                      2.11.1
google-auth                          2.23.0
google-search-results                2.4.1
googleapis-common-protos             1.60.0
greenlet                             2.0.2
gunicorn                             20.1.0
humanfriendly                        10.0
idna                                 3.4
importlib-metadata                   6.8.0
importlib-resources                  6.0.1
isodate                              0.6.1
itsdangerous                         2.1.2
jaraco.classes                       3.3.0
jeepney                              0.8.0
Jinja2                               3.1.2
jmespath                             1.0.1
joblib                               1.3.2
jsonpickle                           3.0.2
jsonschema                           4.19.0
jsonschema-specifications            2023.7.1
keyring                              24.2.0
kiwisolver                           1.4.5
knack                                0.10.1
langchain                            0.0.236
langsmith                            0.0.10
Mako                                 1.2.4
Markdown                             3.4.4
MarkupSafe                           2.1.3
marshmallow                          3.20.1
matplotlib                           3.8.0
mlflow                               2.6.0
mlflow-skinny                        2.7.1
mltable                              1.4.1
more-itertools                       10.1.0
msal                                 1.22.0
msal-extensions                      1.0.0
msrest                               0.7.1
msrestazure                          0.6.4
multidict                            6.0.4
mypy-extensions                      1.0.0
ndg-httpsclient                      0.5.1
numexpr                              2.8.6
numpy                                1.26.0
oauthlib                             3.2.2
omegaconf                            2.3.0
openai                               0.27.8
openapi-schema-pydantic              1.2.4
opencensus                           0.11.3
opencensus-context                   0.1.3
opencensus-ext-azure                 1.1.9
opentelemetry-api                    1.19.0
opentelemetry-exporter-prometheus    1.12.0rc1
opentelemetry-sdk                    1.19.0
opentelemetry-semantic-conventions   0.40b0
packaging                            23.0
pandas                               1.5.3
paramiko                             3.3.1
pathspec                             0.11.2
Pillow                               10.0.1
pip                                  23.0.1
pkginfo                              1.9.6
portalocker                          2.8.2
prometheus-client                    0.17.1
promptflow                           0.1.0b5.dev2
promptflow-contentsafety             0.0.5
promptflow-openllm                   0.0.1
promptflow-sdk                       0.0.1
promptflow-tools                     0.1.0b6
promptflow-vectordb                  0.0.1
protobuf                             4.24.3
psutil                               5.9.5
pyarrow                              9.0.0
pyasn1                               0.5.0
pyasn1-modules                       0.3.0
pycparser                            2.21
pydantic                             1.10.12
pydash                               5.1.2
Pygments                             2.16.1
PyJWT                                2.4.0
PyNaCl                               1.5.0
pyodbc                               4.0.39
pyOpenSSL                            23.2.0
pyparsing                            3.1.1
PySocks                              1.7.1
python-dateutil                      2.8.2
python-dotenv                        1.0.0
pytz                                 2023.3.post1
PyYAML                               6.0.1
querystring-parser                   1.2.4
referencing                          0.30.2
regex                                2023.8.8
requests                             2.31.0
requests-oauthlib                    1.3.1
retrying                             1.3.4
rpds-py                              0.10.3
rsa                                  4.9
scikit-learn                         1.3.0
scipy                                1.11.2
SecretStorage                        3.3.3
setuptools                           68.2.2
six                                  1.16.0
smmap                                5.0.1
soupsieve                            2.5
SQLAlchemy                           1.4.48
sqlparse                             0.4.4
strictyaml                           1.7.3
tabulate                             0.9.0
tenacity                             8.2.3
threadpoolctl                        3.2.0
tiktoken                             0.3.3
tqdm                                 4.66.1
typing_extensions                    4.8.0
typing-inspect                       0.9.0
urllib3                              1.26.16
websocket-client                     1.6.3
Werkzeug                             2.3.7
wheel                                0.41.2
wrapt                                1.15.0
yarl                                 1.9.2
zipp                                 3.17.0
